,nOfCon,nOfM,Dc,sAEC,infScore,confidence_int_95
466,1,1.3,6000,150000,0.007,0.0023109721590707233
467,1,1.3,6000,500000,0.0018,0.001174941123290865
468,1,1.4,20,1500,0.0012,0.0009596236862437275
469,1,1.4,20,5000,0.0004,0.0005542608310173108
470,1,1.4,20,15000,0.0,0.0
471,1,1.4,20,50000,0.0002,0.00039196079803980395
472,1,1.4,20,150000,0.0,0.0
473,1,1.4,20,500000,0.0,0.0
474,1,1.4,60,1500,0.012,0.003018145443811481
475,1,1.4,60,5000,0.0016,0.0011078560830721652
476,1,1.4,60,15000,0.0008,0.0007836863372548995
477,1,1.4,60,50000,0.0,0.0
478,1,1.4,60,150000,0.0002,0.00039196079803980395
479,1,1.4,60,500000,0.0,0.0
480,1,1.4,200,1500,0.0718,0.007155732108121433
481,1,1.4,200,5000,0.0082,0.0024997124160991
482,1,1.4,200,15000,0.0004,0.0005542608310173108
483,1,1.4,200,50000,0.0004,0.0005542608310173108
484,1,1.4,200,150000,0.0,0.0
485,1,1.4,200,500000,0.0002,0.00039196079803980395
486,1,1.4,600,1500,0.0984,0.008256111887613925
487,1,1.4,600,5000,0.0518,0.00614307651288831
488,1,1.4,600,15000,0.0086,0.002559438815990724
489,1,1.4,600,50000,0.0006,0.0006787601968294841
490,1,1.4,600,150000,0.0006,0.0006787601968294841
491,1,1.4,600,500000,0.0002,0.00039196079803980395
492,1,1.4,2000,1500,0.1222,0.009078298539440087
493,1,1.4,2000,5000,0.1108,0.008700429182241528
494,1,1.4,2000,15000,0.051,0.006098025883841425
495,1,1.4,2000,50000,0.0058,0.002104853846517615
496,1,1.4,2000,150000,0.0006,0.0006787601968294841
497,1,1.4,2000,500000,0.0004,0.0005542608310173108
498,1,1.4,6000,1500,0.134,0.009442400440565948
499,1,1.4,6000,5000,0.1242,0.00914185518782703
500,1,1.4,6000,15000,0.101,0.008352406101238134
501,1,1.4,6000,50000,0.055,0.006319290466500175
502,1,1.4,6000,150000,0.0054,0.002031384697392397
503,1,1.4,6000,500000,0.0006,0.0006787601968294841
504,1,1.5,20,1500,0.0014,0.0010364082655015833
505,1,1.5,20,5000,0.0,0.0
506,1,1.5,20,15000,0.0002,0.00039196079803980395
